UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	1
0	0
0	20
0	7
0	0
0	1
0	1
0	0
0	4
0	0
0	19
0	7
0	0
1	23
1	3
0	1
2	6
0	0
1	2
1	9
0	0
4	0
0	2
0	2
0	44
0	9
0	4
0	5
1	0
0	14
0	2
0	0
0	4
0	0
0	5
0	0
0	0
0	7
1	6
0	6
0	0
0	1
0	10
0	14
0	2
0	0
0	23
0	4
0	1
9	1
1	0
0	5
0	2
6	0
4	0
0	0
4	0
8	1
3	0
0	7
0	6
0	0
1	7
0	2
0	2
0	14
0	0
0	5
0	4
0	0
1	0
0	0
2	1
0	0
3	1
6	0
8	2
1	0
5	1
13	0
2	2
5	0
6	1
2	0
16	1
6	0
1	0
3	0
0	1
17	2
3	0
2	0
3	0
2	0
8	2
0	1
2	0
7	1
0	0
8	0
2	0
4	0
0	0
1	0
1	0
2	0
1	0
3	0
0	0
4	0
0	0
0	0
0	1
0	9
0	0
0	3
0	4
1	1
0	0
1	1
0	6
0	0
0	0
0	0
0	4
0	2
1	6
0	0
0	14
0	7
0	0
0	11
1	0
0	0
11	0
7	1
3	1
5	2
9	2
12	3
3	2
0	1
0	4
0	1
0	0
0	1
0	9
0	20
0	23
0	0
0	0
0	1
0	19
0	44
0	23
0	0
0	325
12	509
39	1
422	10
8	319
0	495
35	25
7	31
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1384
0	18882
0	2
0	5498
0	111390
0	136281
0	83437
0	15936
0	13224
0	13
0	13615
4	4087
0	5498
0	111390
0	136281
0	83437
16	13074
0	18884
0	13
20	11645
0	13615
0	8185
7912	14347
2581	13852
7	58
11	233
85	250
0	2
0	2
4	6455
0	15936
25	9977
0	13228
65236	1479
0	13
0	64
80	71
0	476
0	2395
0	0
0	12
0	99
0	275
0	0
0	5
0	4
0	914
0	2697
0	238
0	268
0	32
1	8
0	6104
21	3086
9	1194
265	424
4	899
0	2
0	27
0	90
0	55
0	237
13	2411
9	74
0	1
1	807
