UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	3
0	1
0	0
0	1
0	2
0	5
0	1
0	0
0	1
0	0
0	0
2	8
0	0
0	11
0	14
0	0
0	13
0	3
0	3
1	7
0	0
4	6
0	0
0	1
0	0
1	0
0	7
0	3
0	6
0	5
0	5
1	0
0	2
0	6
0	0
0	4
0	0
0	6
0	2
0	0
0	2
0	1
0	2
1	0
0	6
0	2
0	5
0	4
0	1
0	18
0	0
0	0
1	0
5	0
0	5
0	6
3	0
6	0
6	0
3	0
10	1
2	0
0	14
0	6
0	0
0	2
0	4
0	6
0	2
0	0
0	6
0	4
0	0
4	1
0	0
1	0
0	0
3	1
4	1
4	0
1	0
9	1
3	0
0	0
4	0
12	0
3	0
1	0
1	0
2	0
14	0
0	0
7	0
2	0
4	0
4	0
0	0
4	0
0	0
2	0
6	0
0	0
1	0
2	0
0	0
0	0
0	0
0	0
1	0
3	0
0	0
0	0
0	0
0	1
0	2
0	2
0	6
0	0
2	0
1	0
0	1
0	0
0	3
0	2
0	0
0	0
0	0
0	8
0	7
0	1
0	2
0	5
0	1
0	0
0	2
2	0
0	0
10	1
7	0
2	1
5	0
4	5
8	0
7	1
0	1
0	5
0	0
0	0
0	0
0	0
0	5
0	13
0	1
0	2
0	1
0	11
0	3
0	18
0	0
0	238
18	425
64	0
311	6
12	235
0	412
28	36
4	41
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	1443
0	734
0	0
0	4601
0	2598
0	3243
0	2056
0	650
0	1583
0	59
0	1607
7	3394
0	4601
0	2598
0	3243
0	2056
7	488
0	735
0	59
72	1366
0	1607
0	888
725	1650
386	1631
18	4
5	456
159	483
0	0
0	0
3	316
0	650
15	1218
0	1583
4776	61
1	5
0	6
16	4
0	126
0	138
0	0
0	0
0	25
0	15
1	0
0	7
0	7
0	61
0	102
0	32
0	44
0	3
0	5
0	73
0	31
1	149
0	30
0	78
0	2
0	25
0	42
0	7
0	15
0	112
2	21
0	0
0	5
0	1
0	35
0	80
0	108
