UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	5
2	5
0	1
0	1
0	0
0	6
1	49
0	8
0	0
0	2
0	0
0	0
5	14
0	0
0	39
0	7
0	0
4	40
0	2
1	4
5	29
0	1
8	6
2	11
0	3
13	0
0	0
0	4
0	20
0	10
0	0
0	5
3	0
0	24
0	78
0	1
0	13
0	0
0	32
0	3
0	0
0	21
6	5
0	4
1	1
0	77
0	7
0	10
0	6
5	5
0	33
0	9
0	3
1	0
0	0
0	5
0	78
2	0
4	0
6	0
3	0
14	0
2	0
0	7
0	29
0	1
6	21
0	6
0	6
0	24
0	0
0	32
1	13
0	0
3	1
0	0
6	0
0	0
0	1
4	0
9	2
6	0
15	0
8	1
6	2
16	1
8	0
2	0
15	0
4	0
3	0
12	1
0	0
6	0
5	0
7	0
5	0
1	0
15	0
5	0
10	0
3	0
0	0
1	0
12	0
18	0
3	0
0	0
4	0
2	0
9	0
2	0
0	0
7	0
0	1
0	5
0	4
0	10
0	1
2	0
0	9
0	0
0	1
1	6
0	4
0	0
0	1
0	0
0	14
0	4
2	5
0	6
0	10
0	8
0	0
0	7
2	0
0	0
13	1
10	0
8	0
6	0
6	2
9	2
14	1
1	1
0	0
0	3
0	0
0	0
0	11
0	49
0	40
0	3
0	3
0	2
0	39
0	20
0	33
0	0
0	713
27	1488
120	0
824	6
52	658
0	1474
113	58
6	92
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
399	3876
0	11209
1	11
0	6768
0	88132
0	92475
0	65072
0	7338
0	12038
0	190
0	1969
6	5997
0	6768
0	88132
0	92475
0	65072
25	6258
0	11212
0	190
94	1752
0	1969
0	1890
11415	14843
2101	14786
273	30
16	1973
0	1963
0	10
0	11
19	6129
0	7338
28	9324
0	12038
47379	194
3	44
0	82
77	35
0	933
0	1514
0	0
0	4
0	156
0	155
1	0
0	3
111	961
0	1487
0	496
0	470
0	154
0	181
0	41
0	501
1	204
0	433
519	1343
3	1411
0	1
0	89
0	219
0	36
0	130
3	419
11	510
0	149
0	26
