UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	1
0	1
0	0
0	2
0	1
0	18
0	9
0	0
0	3
0	0
0	0
0	9
0	1
0	10
0	9
0	0
2	63
3	4
0	2
1	3
0	0
0	1
1	7
0	0
6	0
0	1
0	2
0	24
0	15
0	4
0	5
1	0
0	17
0	28
0	1
0	14
0	0
0	10
0	3
0	0
0	10
0	9
0	8
1	5
0	24
0	13
0	7
0	14
0	0
0	36
0	1
0	5
3	1
1	0
0	5
0	28
3	0
7	1
10	1
8	2
7	0
6	1
2	9
0	3
0	5
4	10
0	14
0	1
0	17
0	0
0	10
1	14
0	0
1	0
0	0
2	0
0	0
3	0
6	0
8	0
6	0
7	0
10	2
0	0
8	0
5	0
3	0
9	0
8	0
4	0
1	1
0	0
6	0
3	0
5	0
4	1
2	1
5	1
7	0
0	0
5	2
0	0
3	0
9	1
3	0
1	0
0	1
4	0
0	1
11	1
0	0
0	0
0	0
0	1
0	2
0	2
0	15
0	0
4	1
2	1
0	2
0	0
0	1
0	8
0	0
0	1
0	1
1	9
0	2
3	9
0	1
0	7
0	9
0	0
0	15
3	0
0	0
16	1
15	1
6	4
1	0
10	1
5	2
13	2
0	0
0	4
0	5
0	0
0	0
0	7
0	18
0	63
0	0
0	3
0	3
0	10
0	24
0	36
0	0
1	594
26	949
105	2
679	14
30	571
0	937
110	80
4	84
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
380	3897
0	8608
0	16
0	12954
0	38485
0	42975
0	26056
0	9939
0	4901
0	170
0	3225
10	11010
0	12954
0	38485
0	42975
0	26056
32	4278
2	8616
0	170
178	2405
0	3225
0	9103
4067	8131
671	8053
42	44
28	1411
1	1469
0	12
0	16
81	4374
0	9939
30	3835
0	4903
33581	207
2	30
0	46
16	44
0	2324
0	382
0	0
0	16
0	69
0	48
0	0
0	20
2	31
0	240
0	64
0	32
0	84
0	14
0	18
0	244
0	74
1	339
163	177
0	127
0	1
0	169
0	22
0	13
0	24
1	263
6	60
0	29
0	24
0	1
