UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	3
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	5
0	2
0	0
0	2
0	1
0	1
0	0
0	0
0	2
0	0
0	0
0	0
0	2
0	1
0	0
0	2
0	0
0	1
1	0
0	2
0	0
0	1
0	1
0	0
0	2
0	1
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	9
0	0
0	3
0	0
0	0
0	1
0	0
1	0
2	0
0	0
0	0
1	0
0	0
0	2
0	0
0	0
2	1
0	0
0	2
0	2
0	0
0	2
0	1
0	0
1	0
0	0
0	0
0	0
0	0
2	0
2	0
0	0
1	0
1	0
0	0
2	0
1	0
0	0
0	0
1	0
0	0
0	0
0	0
2	1
0	0
0	0
1	0
0	0
0	0
0	0
1	0
0	0
0	0
2	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
2	0
0	0
1	0
0	0
0	0
0	1
0	2
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	1
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
1	0
0	0
1	0
1	0
1	0
0	0
0	0
0	0
0	0
0	3
0	0
0	0
0	0
0	3
0	2
0	0
0	1
0	0
0	5
0	0
0	9
0	0
0	40
3	85
20	0
107	2
0	40
0	84
4	3
0	4
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
38	620
0	8899
0	6
0	2568
0	29046
0	34160
0	21298
0	6474
0	16426
0	9
0	4063
4	2275
0	2568
0	29046
0	34160
0	21298
4	5695
0	8919
0	9
2	3203
0	4063
0	1383
3795	7585
770	7336
17	9
7	341
35	345
0	4
0	6
4	3402
0	6474
9	13373
0	16433
17963	310
4	10
0	9
151	37
0	322
0	881
0	0
0	0
0	37
0	49
0	2
0	0
39	495
0	207
0	5
0	240
0	401
0	18
0	21
0	148
1	204
0	2001
217	228
3	250
0	0
0	129
0	268
0	42
0	40
4	861
12	68
0	20
0	4
0	5
1	211
