UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	14
2	2
0	0
0	1
0	3
0	7
2	21
0	18
0	0
0	3
0	0
0	0
5	16
0	0
0	21
0	32
0	1
9	39
5	7
0	5
1	12
0	0
3	3
1	8
0	5
6	1
1	4
0	6
0	38
0	21
0	2
0	11
0	0
0	26
0	18
0	1
0	7
0	0
0	12
0	6
0	0
0	9
2	7
0	6
0	2
0	17
0	7
0	14
0	10
0	0
0	57
1	4
0	6
5	0
3	0
0	11
0	18
3	0
9	0
5	0
3	0
17	0
5	0
1	32
0	12
0	2
1	9
0	10
0	3
0	26
0	0
0	12
6	7
0	0
1	0
0	0
1	0
1	0
1	0
7	0
9	1
1	0
8	0
12	0
5	1
9	0
12	0
10	2
10	0
8	0
5	0
6	0
1	0
16	0
3	0
4	1
4	0
1	0
8	1
1	0
1	0
5	0
0	0
3	0
13	1
7	0
3	0
0	0
7	0
0	0
6	0
1	0
1	0
1	1
0	0
0	14
0	5
0	21
0	1
10	4
0	4
0	3
0	0
1	2
0	6
0	0
0	1
0	0
0	16
0	6
4	7
0	7
0	14
0	18
0	1
2	7
3	0
0	0
15	0
7	0
2	0
8	0
9	2
9	0
11	2
1	0
0	2
0	6
0	0
0	0
0	8
0	21
0	39
0	5
0	6
0	3
0	21
0	38
0	57
0	0
0	772
44	1884
180	1
1000	5
48	718
1	1876
125	69
4	100
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
152	3557
0	5240
1	15
0	8957
0	20751
0	22494
0	16176
0	3953
0	12084
0	165
0	7418
2	8025
0	8957
0	20751
0	22494
0	16176
31	3898
1	5241
0	165
370	6302
0	7418
0	2293
4056	4630
1019	4624
37	12
13	1580
100	1574
0	15
0	15
48	3582
0	3953
39	10209
0	12087
26581	74
4	36
0	59
5	19
0	274
0	556
0	0
0	12
0	127
0	93
6	1
0	10
5	82
0	171
0	251
0	60
0	107
0	18
0	8
0	210
1	106
1	272
144	253
1	313
0	1
0	25
0	62
0	30
0	48
1	175
9	66
0	1
0	21
