UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	1
0	0
0	0
0	0
0	2
0	1
0	0
0	0
0	2
0	0
0	0
0	6
0	0
0	7
0	2
0	0
0	9
0	2
0	0
0	1
0	0
1	2
0	3
0	0
0	0
0	0
0	0
0	6
0	4
0	2
0	4
0	0
0	4
0	5
0	1
0	1
0	0
0	4
0	0
0	0
0	1
0	1
0	2
0	1
0	4
0	2
0	2
0	3
0	0
0	14
0	0
0	0
0	0
0	0
0	4
0	5
3	0
0	0
2	0
2	0
6	0
1	0
0	2
0	1
0	1
0	1
0	3
0	2
0	4
0	0
0	4
1	1
0	0
1	0
0	0
0	0
0	0
2	0
0	0
0	1
3	0
1	0
5	0
0	1
3	0
3	0
4	0
4	0
4	1
2	0
1	0
1	0
4	0
3	0
1	0
2	0
1	0
0	0
0	0
1	0
4	1
0	0
0	0
3	0
0	0
0	0
0	0
0	0
1	0
1	0
2	0
0	0
2	0
0	0
0	3
0	0
0	4
0	0
1	0
0	0
0	0
0	0
0	1
0	2
0	0
0	1
0	0
0	6
0	0
0	1
0	2
0	2
0	0
0	0
0	2
2	0
0	0
2	0
1	0
0	0
2	0
2	1
0	0
4	1
0	0
0	2
0	0
0	0
0	0
0	3
0	1
0	9
0	0
0	0
0	2
0	7
0	6
0	14
0	0
0	241
13	623
25	0
503	3
10	228
0	621
19	16
0	18
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
67	4989
0	8508
0	4
0	14622
0	47915
0	51170
0	37510
0	7009
0	14968
0	41
0	1053
4	12891
0	14622
0	47915
0	51170
0	37510
3	5171
0	8511
0	41
20	846
0	1053
0	2328
8310	6688
819	6658
4	9
6	1194
54	1189
0	4
0	4
9	5842
0	7009
7	12184
0	14969
43563	85
1	23
0	158
1	8
0	608
0	2892
0	0
0	1
0	20
0	53
0	0
0	0
2	14
0	73
0	256
0	39
0	510
0	25
0	4
0	171
1	58
0	83
145	456
1	320
0	0
0	48
0	25
0	12
0	12
1	314
2	60
0	3
0	426
0	1
