"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"	"symbol"
"ENSG00000189233"	402.591021160141	-4.72534477914276	0.311466918616635	1.79411469449041e-60	5.27856144883608e-58	"NUGGC"
"ENSG00000248144"	16732.00621494	-6.84667221250273	0.509974172910603	6.63057171654513e-60	1.92125838647287e-57	"ADH1C"
"ENSG00000119711"	6278.56952547757	-4.51219718905273	0.29868302500334	8.01598109677874e-60	2.28802421634025e-57	"ALDH6A1"
"ENSG00000009724"	2982.47459484108	-7.4644206387821	0.571439404329697	2.21486660621084e-59	6.22898661429061e-57	"MASP2"
"ENSG00000136872"	85982.2333704766	-8.34429828313448	0.677053040318959	3.81220588198708e-59	1.05658877227711e-56	"ALDOB"
"ENSG00000180432"	3999.58883165111	-8.21015547048786	0.642417739583108	2.18646433488716e-58	5.97342056291173e-56	"CYP8B1"
"ENSG00000140107"	3551.94558125498	-8.60333319086414	0.728070583845835	8.3411699145672e-58	2.24671173867864e-55	"SLC25A47"
"ENSG00000100652"	3306.13203027627	-8.44668143658926	0.682533590239194	8.99738999968718e-58	2.38980675491691e-55	"SLC10A1"
"ENSG00000101981"	5519.67428709417	-8.6998592306063	0.737330702058623	2.20146234067612e-57	5.76722819220411e-55	"F9"
"ENSG00000169738"	10544.1161654862	-5.00194000539529	0.34048645784377	3.84877701724724e-57	9.94648806457247e-55	"DCXR"
"ENSG00000172955"	4601.94315797364	-6.51340188786564	0.486314592808164	5.9584081919256e-57	1.51931464349847e-54	"ADH6"
"ENSG00000198670"	1828.95413612684	-8.81190295495733	0.737562236577223	6.31782277087295e-57	1.5897637193444e-54	"LPA"
"ENSG00000277893"	947.042977811199	-7.76778594524332	0.58447420555335	1.24852821597525e-56	3.10089007822217e-54	"SRD5A2"
"ENSG00000109181"	1454.8461579086	-8.33013413452753	0.687128096018336	1.28924240188332e-56	3.16095790943802e-54	"UGT2B10"
"ENSG00000186910"	3306.94664071471	-7.72218453597837	0.617423067751648	1.51766561341979e-56	3.6739034419038e-54	"SERPINA11"
"ENSG00000162365"	3189.02521001621	-8.01387647046254	0.646556516277952	1.66845738647934e-56	3.98844738237886e-54	"CYP4A22"
"ENSG00000149124"	2777.63068435387	-8.96715636212271	0.783636484321354	1.95647153798555e-56	4.61920514721427e-54	"GLYAT"
"ENSG00000139547"	6091.15040808199	-7.52561301688909	0.590551860595223	2.22307332051077e-56	5.18464075383512e-54	"RDH16"
"ENSG00000205143"	120.111096601838	-6.46578762060322	0.444295131787524	2.87768285169069e-56	6.63045865731721e-54	"ARID3C"
"ENSG00000131482"	6318.72867402557	-7.15374700197438	0.557501112233252	1.1825600102912e-55	2.69229495676296e-53	"G6PC1"
"ENSG00000139209"	7194.51231723425	-8.06453355019194	0.692880575067455	1.24557186213366e-55	2.8023901519346e-53	"SLC38A4"
"ENSG00000127954"	635.569719820116	-2.99068510700853	0.197410998024277	1.48846851549514e-55	3.30993859189872e-53	"STEAP4"
"ENSG00000118271"	55916.4728665142	-7.64056850805094	0.627215861080014	1.82113040793457e-55	4.00313769210813e-53	"TTR"
"ENSG00000243955"	14366.4456483336	-7.85941582196104	0.648538433848023	2.91418439549859e-55	6.33305254312672e-53	"GSTA1"
"ENSG00000160862"	19443.7997384537	-5.59898308025541	0.40878958892046	2.9855497542446e-55	6.41524196631165e-53	"AZGP1"
"ENSG00000110243"	4675.39671165975	-8.63318308036045	0.740966132380539	3.69881805299245e-55	7.85957738282528e-53	"APOA5"
"ENSG00000141485"	3602.48570391395	-6.41636940662279	0.49363567527819	4.16566588289725e-55	8.56604240263732e-53	"SLC13A5"
"ENSG00000160097"	564.839738537437	-5.41618953422284	0.387406677594503	4.09522887972545e-55	8.56604240263732e-53	"FNDC5"
"ENSG00000166816"	1251.73411001573	-4.84122172515483	0.341273155987528	4.14338808101645e-55	8.56604240263732e-53	"LDHD"
"ENSG00000165682"	500.859311646188	-7.82042716659629	0.610960200106529	5.46657939455475e-55	1.11215813129218e-52	"CLEC1B"
"ENSG00000117601"	31093.6406813569	-8.85397549081141	0.801716322628374	6.49225081456689e-55	1.30692425871344e-52	"SERPINC1"
"ENSG00000110245"	69739.4654333657	-8.79877902125187	0.788671687230892	6.85805135415194e-55	1.36618098017502e-52	"APOC3"
"ENSG00000116882"	2251.58422322925	-8.42177543653921	0.695337896817322	8.24268916755324e-55	1.62508440866276e-52	"HAO2"
"ENSG00000087237"	640.760181550203	-5.04724980238846	0.357418376485628	1.19869455829157e-54	2.33916680946613e-52	"CETP"
"ENSG00000215644"	423.357302188995	-7.80849413604703	0.602801084205093	1.36484513098955e-54	2.6364947762671e-52	"GCGR"
