UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	8
0	1
0	9
0	0
0	10
0	4
0	13
0	12
0	0
1	1
0	0
0	0
1	8
0	0
0	12
0	20
0	1
4	106
4	4
0	8
1	9
0	0
0	0
0	4
0	3
8	0
0	8
0	3
0	42
0	22
0	5
0	6
0	0
0	11
0	13
0	0
0	13
0	1
0	12
1	1
1	0
0	11
2	7
0	3
0	0
0	11
0	7
0	19
0	12
2	0
0	30
0	3
0	9
4	0
1	0
0	6
0	13
8	0
10	0
16	1
4	0
6	0
3	1
0	20
1	9
0	0
1	11
0	12
0	0
0	11
0	0
0	12
0	13
0	0
3	0
2	0
5	0
0	0
7	0
5	0
11	5
12	1
12	0
20	1
6	4
8	1
3	0
4	0
12	0
8	0
7	0
5	2
0	0
35	0
3	1
8	0
5	0
3	0
11	2
4	0
3	0
9	0
1	0
7	0
5	1
3	0
2	0
2	0
8	0
0	2
12	2
3	0
0	0
15	0
0	9
0	8
0	7
0	22
0	0
12	11
0	3
1	10
0	0
0	1
0	3
0	0
0	0
0	0
0	8
0	3
9	7
0	4
0	19
0	12
0	1
0	8
5	0
0	0
12	3
20	1
10	2
11	0
11	5
11	1
23	4
0	0
0	5
0	9
0	1
0	0
0	4
0	13
0	106
0	3
0	1
0	1
0	12
0	42
0	30
0	0
1	712
21	1202
160	1
986	16
46	693
2	1183
113	72
0	90
0	1
0	0
2	2
0	1
0	0
0	0
0	1
0	0
0	2
0	1
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
125	1088
0	20181
0	7
0	3883
0	104276
0	113124
0	67379
0	19025
0	8679
0	45
0	810
11	3327
0	3883
0	104276
0	113124
0	67379
30	10480
3	20196
0	45
25	605
0	810
0	2149
6305	15956
1964	15845
10	29
10	389
1	406
0	4
0	7
8	7061
0	19025
18	7222
0	8683
62874	833
0	104
0	42
23	23
0	586
0	466
0	0
0	5
0	49
0	89
0	0
0	10
2	30
0	1284
0	65
0	285
0	773
0	19
0	31
0	404
1	1115
1	2273
385	728
0	551
0	8
0	120
0	15
0	69
0	91
3	1009
22	219
0	502
0	142
0	1
