UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	1
0	0
0	7
0	2
0	1
0	1
0	0
0	0
0	8
0	0
0	1
0	3
0	2
0	10
0	0
0	1
2	7
0	0
1	0
0	2
0	1
1	0
0	6
0	1
0	8
0	3
0	2
0	2
0	0
0	4
0	0
0	0
0	5
0	1
0	3
1	3
0	0
0	8
0	1
0	3
0	0
0	0
0	6
0	2
0	1
0	0
0	13
0	1
0	5
2	0
0	0
0	2
0	0
1	0
4	0
1	0
6	0
9	1
2	0
0	3
0	7
0	0
1	9
0	1
0	0
0	4
0	0
0	3
2	5
0	1
2	0
0	0
0	0
0	0
1	0
1	0
4	0
4	0
2	0
5	1
0	0
3	0
1	0
0	0
6	0
2	0
4	0
1	0
0	0
2	0
2	0
7	0
2	0
0	0
1	0
3	0
3	1
3	0
0	0
0	0
3	0
0	0
0	1
0	0
1	0
3	0
2	0
0	0
0	0
3	0
0	1
0	0
0	1
0	3
0	0
1	7
0	1
0	1
0	0
0	1
0	3
0	0
0	0
0	0
0	8
0	1
0	1
0	0
0	2
0	2
0	2
1	6
0	0
0	0
9	1
4	0
6	0
7	0
4	0
6	0
3	0
1	0
0	2
0	5
0	1
0	0
0	2
0	7
1	10
0	1
0	3
0	1
0	1
0	8
0	13
0	0
2	139
9	261
57	0
243	4
1	132
0	258
16	12
2	17
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	83
0	425
0	4
0	368
0	1107
0	1401
0	899
0	210
0	527
0	40
0	85
0	339
0	368
0	1107
0	1401
0	899
0	312
0	425
0	40
0	72
0	85
0	142
182	296
23	291
0	0
0	56
5	58
0	3
0	4
0	97
0	210
0	421
0	527
1322	4
0	3
0	2
14	6
0	19
0	19
0	0
0	0
0	2
0	2
0	0
0	2
0	4
0	13
0	15
0	4
0	7
0	2
0	2
0	21
0	11
0	29
14	10
0	10
0	0
0	8
0	9
0	2
0	4
0	28
0	6
0	0
0	0
0	1
0	10
0	17
0	12
0	5
0	40
0	0
