UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	7
0	7
0	0
0	4
0	0
0	0
0	8
0	0
0	6
0	11
0	0
1	19
1	0
0	0
0	6
0	0
0	1
0	4
0	0
1	0
0	2
0	0
0	13
0	13
0	2
0	1
0	0
0	4
0	7
0	0
0	4
0	0
0	1
1	2
0	0
0	2
0	2
0	3
1	0
0	5
0	3
0	9
0	1
0	0
0	5
1	2
0	3
6	0
1	0
0	1
0	7
0	0
6	0
1	1
5	1
3	0
0	0
1	11
0	6
0	0
0	2
0	1
0	1
0	4
0	0
0	1
0	4
0	0
1	0
0	0
0	0
0	0
6	0
1	0
5	2
2	0
0	1
12	0
1	2
1	0
2	0
7	0
1	0
3	0
2	0
1	0
0	0
3	0
4	0
2	0
2	0
0	0
3	0
2	0
2	0
2	1
0	0
0	0
4	0
3	0
0	0
0	0
1	0
1	0
3	0
0	0
1	0
3	1
0	0
0	0
0	0
0	13
0	0
0	3
2	2
0	0
0	0
0	2
0	3
0	0
0	0
0	0
0	8
0	0
1	2
0	0
0	9
0	7
0	0
0	3
0	0
0	0
10	0
7	0
7	1
11	0
9	0
5	0
1	0
0	0
0	2
0	3
0	0
0	0
0	4
0	7
0	19
0	0
0	2
0	4
0	6
0	13
0	5
0	1
0	199
8	329
117	0
317	6
15	192
0	326
36	21
10	30
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
19	2180
0	3191
0	9
0	9998
0	8446
0	10931
0	7161
0	2243
0	6637
0	22
0	2668
8	9288
0	9998
0	8446
0	10931
0	7161
7	2115
0	3192
0	22
42	2027
0	2668
0	1730
2133	4734
438	4682
13	13
11	1640
103	1696
0	5
0	9
8	1095
0	2243
14	5080
0	6639
12511	121
0	12
0	11
51	9
0	183
0	391
0	0
0	3
0	58
0	46
0	0
0	7
0	56
0	101
0	5
0	49
0	94
0	34
1	1
0	6
0	112
0	317
0	49
0	250
0	1
0	13
0	184
0	28
0	89
1	412
8	45
0	18
1	46
0	8
