UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	1
0	0
0	0
0	1
0	2
0	9
0	5
0	0
0	0
0	0
0	0
2	13
0	0
0	6
0	9
0	0
0	11
0	1
1	2
2	3
0	0
1	2
0	4
0	0
2	0
0	12
0	1
0	25
0	8
0	4
0	4
7	0
0	5
0	2
0	0
0	13
0	0
0	6
1	1
0	0
0	20
0	2
0	1
0	1
0	1
0	1
0	6
0	8
0	0
0	14
0	0
0	6
8	0
4	0
0	4
0	2
0	0
16	1
1	0
3	0
5	1
2	0
0	9
0	3
0	1
1	21
0	8
0	2
0	5
0	0
0	6
2	13
0	0
1	0
0	0
4	0
0	0
1	0
5	0
5	1
1	0
6	1
6	1
1	1
0	0
4	0
2	0
5	0
4	0
2	0
10	0
1	0
4	0
4	0
8	0
1	0
0	0
10	0
0	0
2	0
3	0
0	0
0	0
4	0
2	1
0	0
0	0
1	0
0	1
1	1
1	0
0	0
3	0
0	0
0	2
0	2
0	8
0	0
9	12
1	0
0	1
0	0
0	1
0	1
0	0
0	0
0	0
1	13
0	1
2	2
0	2
0	6
0	5
0	0
0	1
0	0
0	0
31	3
22	2
10	0
15	0
16	5
15	1
11	5
0	0
0	4
0	6
0	0
0	0
0	4
0	9
2	11
0	0
0	1
0	0
0	6
0	25
0	14
0	0
6	289
10	497
101	1
327	5
3	279
1	491
116	68
4	73
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
28	963
0	7015
0	16
0	4334
0	17975
0	22726
0	14498
0	3327
0	10882
0	234
0	4146
2	3952
0	4334
0	17975
0	22726
0	14498
1	5272
0	7015
0	234
19	3504
0	4146
0	1846
2594	5307
519	5241
20	29
2	764
57	802
0	14
0	16
0	1733
0	3327
12	8621
0	10882
25941	171
1	40
0	38
266	65
0	216
0	363
0	0
0	0
0	90
0	23
1	1
0	5
0	15
0	314
0	261
0	128
0	110
0	38
2	32
0	354
0	158
0	495
272	230
0	581
0	2
0	79
0	250
0	20
0	51
0	521
8	74
0	33
0	8
0	15
1	227
