UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
1	3
0	0
0	0
0	1
0	1
0	9
0	13
0	0
0	4
0	0
0	0
0	8
0	0
0	10
0	26
0	1
2	23
6	3
0	0
1	4
0	0
2	3
0	2
0	2
4	0
1	3
0	3
0	21
0	5
0	3
0	5
0	0
0	16
0	14
0	0
0	7
0	0
0	5
0	4
0	0
0	2
1	6
0	2
0	2
0	14
0	1
0	8
0	6
0	0
0	22
0	8
0	6
1	1
3	0
0	5
0	14
6	0
5	0
3	0
3	0
9	0
4	0
0	26
0	4
0	2
2	2
0	6
0	3
0	16
0	0
0	5
6	7
0	0
4	0
0	0
1	0
0	0
1	0
6	0
4	1
4	0
14	0
11	0
1	1
6	0
3	0
5	0
2	0
2	0
1	0
2	0
0	0
7	0
1	0
8	0
3	0
2	0
7	0
1	0
0	0
2	0
1	0
2	0
9	0
1	0
2	0
0	0
3	0
1	0
3	0
0	0
0	0
1	0
0	0
0	2
0	0
0	5
0	0
6	3
1	8
0	1
0	0
2	3
0	2
0	0
0	0
0	0
0	8
0	3
5	6
0	1
0	8
1	13
1	1
0	1
0	0
0	0
14	0
7	0
0	0
5	0
5	4
5	0
4	4
0	0
0	3
0	6
0	0
0	0
0	2
0	9
0	23
0	2
0	4
0	4
0	10
0	21
0	22
0	0
0	386
30	887
66	0
542	0
27	363
1	884
64	31
8	43
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
41	1029
0	2085
0	6
0	2066
0	9249
0	10180
0	7590
0	930
0	3485
0	15
0	1336
4	1834
0	2066
0	9249
0	10180
0	7590
15	1284
1	2085
0	15
89	1112
0	1336
0	797
1473	1654
758	1654
28	10
5	513
34	512
0	6
0	6
11	815
0	930
19	2840
0	3485
8607	9
1	12
0	23
28	14
0	184
0	205
0	0
0	2
0	25
0	21
0	0
0	0
2	19
0	59
0	38
0	18
0	25
0	2
0	1
0	47
0	14
0	60
24	83
0	78
0	0
0	5
0	44
0	2
0	23
1	64
1	21
0	1
0	5
0	3
1	56
0	79
