UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	2
0	0
0	5
0	3
0	0
0	1
0	0
0	0
1	10
0	0
0	4
0	6
0	1
0	8
0	3
1	1
2	0
0	0
2	1
1	3
0	1
0	0
0	0
0	2
0	6
0	2
0	2
0	6
0	0
0	12
0	2
0	0
0	1
0	0
0	8
1	2
0	0
0	4
0	1
0	1
1	2
0	2
0	5
0	8
0	4
0	0
0	7
1	1
0	1
5	0
0	0
0	6
0	2
0	0
10	0
2	0
0	0
3	0
6	0
0	6
0	0
0	2
0	4
0	4
0	1
0	12
0	0
0	8
0	1
0	0
3	0
0	0
2	0
0	0
3	0
3	0
2	0
4	0
9	0
4	0
4	0
3	0
6	0
1	0
2	0
4	0
2	0
2	0
0	0
7	0
8	0
1	0
2	0
1	0
1	0
0	0
6	0
1	0
0	0
0	0
1	0
1	0
0	0
1	0
0	0
0	1
3	1
0	0
0	0
1	0
0	0
0	1
0	1
0	2
0	0
3	0
0	1
0	2
0	0
0	0
0	1
0	0
0	0
0	0
0	10
0	2
0	1
0	0
0	8
0	3
0	1
0	5
1	0
0	0
10	2
4	0
7	0
1	1
3	0
1	2
7	1
2	0
0	2
0	1
0	0
0	0
0	3
0	5
0	8
0	1
0	2
0	1
0	4
0	6
0	7
0	0
0	154
4	310
46	0
226	0
9	147
0	307
38	36
2	40
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
92	887
0	1337
0	81
0	4349
0	4589
0	5552
0	3538
0	973
0	3968
0	90
0	1340
3	3934
0	4349
0	4589
0	5552
0	3538
3	908
0	1337
0	90
37	1148
0	1340
0	937
1276	2804
254	2771
5	9
11	473
15	490
0	69
0	81
29	512
0	973
15	3216
0	3968
8045	66
0	17
0	10
26	23
0	131
0	206
0	0
0	1
0	40
0	30
0	0
0	10
1	20
0	41
0	53
0	23
0	71
0	44
0	0
0	148
0	85
0	165
30	70
0	172
0	1
0	1
0	80
0	15
0	21
0	217
1	21
0	21
0	26
0	4
1	98
1	142
