UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	3
0	0
0	0
0	1
0	1
0	4
0	0
0	0
0	0
0	0
0	0
0	6
0	0
0	3
0	6
0	1
0	11
0	0
0	0
0	0
0	0
0	1
0	5
0	1
0	0
1	3
0	0
0	0
0	5
0	3
0	0
1	0
0	17
0	3
0	0
0	1
0	0
0	3
0	1
0	0
0	0
0	0
0	4
0	0
0	3
0	3
0	2
0	2
0	0
0	3
0	1
0	1
0	0
0	0
0	0
0	3
0	0
1	0
0	0
1	0
4	1
2	0
0	6
0	0
0	0
0	0
0	2
0	1
0	17
0	0
0	3
0	1
0	0
1	0
2	0
1	0
0	0
0	0
0	0
3	0
2	0
9	0
2	0
1	0
1	1
1	0
1	0
0	0
3	0
0	0
3	0
0	0
5	0
0	0
1	0
2	0
1	0
3	0
1	0
0	0
1	0
0	0
0	0
2	0
0	0
2	0
0	0
1	0
1	1
0	1
1	0
0	0
0	0
0	0
0	1
0	0
0	5
0	0
0	3
0	1
0	1
0	0
0	3
0	4
0	0
0	0
0	0
0	6
0	0
0	0
0	1
0	2
0	0
0	1
0	3
1	0
0	0
2	0
3	0
7	0
7	0
6	1
3	1
2	0
2	1
0	3
0	1
0	0
0	0
0	5
0	4
0	11
0	1
0	0
0	0
0	3
0	0
0	3
1	0
0	101
6	179
49	0
173	2
4	94
0	171
11	13
1	16
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
36	758
0	431
0	0
0	1661
0	2326
0	2672
0	1632
0	564
0	934
0	53
0	110
0	1169
0	1661
0	2326
0	2672
0	1632
1	246
0	431
0	53
2	96
0	110
0	315
355	799
51	791
1	1
0	290
57	300
0	0
0	0
0	332
0	564
0	783
0	934
2728	24
0	6
0	1
13	5
0	65
0	61
0	0
0	0
0	7
0	17
0	0
0	0
1	4
0	43
0	11
0	9
0	33
0	2
0	2
0	56
0	17
0	126
26	47
0	35
0	4
0	31
0	16
0	1
0	5
0	78
0	11
0	9
0	0
0	0
0	21
0	52
0	22
0	12
0	108
